x y
NA NA
15.429009 68.36781
15.439091 68.358601
15.453579 68.375281
15.442768 68.377074
15.693939 68.495177
15.663884 68.500502
15.662094 68.512202
15.621425 68.524898
15.611275 68.52016
15.652678 68.505578
15.572705 68.457863
15.475263 68.423328
15.470147 68.432355
15.454329 68.434331
15.428034 68.401804
15.408379 68.403452
15.338191 68.375304
15.263808 68.37379
15.262256 68.3678
15.305567 68.370434
15.324065 68.354884
15.275041 68.330139
15.213386 68.323969
15.189726 68.304812
15.159993 68.305863
15.144748 68.314769
15.125842 68.304273
15.163426 68.299697
15.16132 68.291401
15.150176 68.291794
15.104216 68.272949
15.073081 68.27822
15.115233 68.301855
15.071959 68.318706
NA NA
16.857325 69.09942
16.880908 69.111448
16.883993 69.128092
16.982512 69.108417
16.980054 69.131366
17.071526 69.151111
17.094575 69.138899
17.153715 69.144187
17.128924 69.155087
17.135256 69.172989
17.287184 69.200197
17.144926 69.181883
17.108539 69.197023
17.078497 69.193226
16.973455 69.198771
16.973911 69.207606
17.011505 69.214353
16.958907 69.22457
16.97608 69.236406
17.039315 69.237837
17.071029 69.24623
17.175547 69.227608
17.225666 69.258002
17.179573 69.253538
17.174983 69.266331
17.244011 69.290751
17.165906 69.284917
17.134852 69.26392
17.081387 69.275605
17.154297 69.285433
17.10142 69.291502
17.034965 69.277643
17.031091 69.288997
17.100009 69.306014
17.06208 69.310011
16.992683 69.29906
16.971339 69.313033
16.988758 69.321596
17.108476 69.329877
17.169624 69.313655
17.231904 69.308079
17.168234 69.324438
17.218606 69.340376
17.209779 69.348695
17.147633 69.340267
17.093518 69.358032
17.255911 69.352694
17.108126 69.373235
17.051776 69.362655
16.961951 69.365154
16.95204 69.374433
17.002872 69.380623
16.991345 69.39277
17.014678 69.395487
17.016123 69.407072
17.094414 69.393876
17.098169 69.404429
17.138372 69.402664
17.141407 69.392743
17.194162 69.38202
17.200114 69.398536
17.240203 69.421924
17.261223 69.41446
17.283022 69.420012
17.358829 69.411004
17.355738 69.399021
17.465125 69.363718
17.483139 69.366155
17.475553 69.391692
17.384535 69.405643
17.397389 69.408323
17.369596 69.425904
17.413753 69.416905
17.569008 69.429828
17.534403 69.443091
17.491387 69.444604
17.472377 69.436147
17.31756 69.45669
17.29648 69.474883
17.275819 69.50517
17.291953 69.505849
17.407444 69.456829
17.409989 69.49215
17.461554 69.481412
17.492577 69.486523
17.375248 69.541273
17.444442 69.524158
17.458677 69.526775
17.489553 69.51371
17.521322 69.520649
17.573073 69.51034
17.567501 69.488674
17.584607 69.502343
17.630307 69.493692
17.623305 69.475357
17.658083 69.462537
17.760818 69.471703
17.709245 69.482069
17.636452 69.533992
17.572343 69.560745
17.570552 69.6014
17.615702 69.569938
17.681661 69.55148
17.682703 69.536969
17.743874 69.486038
17.725719 69.514424
17.789863 69.51233
17.746733 69.524167
17.738216 69.574026
17.697884 69.596907
17.764763 69.590976
17.826886 69.535775
17.864346 69.529791
17.89946 69.568254
17.925249 69.55955
17.919297 69.57804
17.948193 69.57712
17.98118 69.549853
17.97405 69.505376
17.911078 69.486938
17.925497 69.473171
17.877221 69.461488
17.910317 69.451492
17.965832 69.461415
17.955266 69.484806
18.016536 69.515454
18.055004 69.515448
18.068412 69.505919
18.080662 69.509989
18.139731 69.485596
18.126184 69.475054
18.082223 69.474416
18.028265 69.428952
17.974418 69.426441
18.071822 69.405794
18.069016 69.418545
18.098956 69.443697
18.16524 69.427802
18.124891 69.399902
18.144292 69.389127
